signalKey,rubricId,predeterminedScore,answerText,reasoning
openQ1_causality_coherence_score,rubric.causality.v1,10,"India is an agrarian economy, and 60% of our population depends on farming. I was actually working as a digital marketing manager at an ad agency in Mumbai for the last five years, but I always felt like doing something big for the nation. Bharat is rising. One day, I read an article in the Economic Times about how much crop is wasted because of bad supply chains and middlemen. So I quit my job and started AgriConnect AI. We are building a blockchain and AI-enabled supply chain ecosystem for farmers in Punjab and UP. Technology can solve anything, and we want to be the Amazon for Indian agriculture.","Earns a 10/100 because the founder relies entirely on macro-economic cliches ('Bharat is rising', '60% depend on farming') rather than personal lived context. Transitioning from a Mumbai ad agency to a blockchain agritech startup based solely on reading a newspaper article demonstrates zero firsthand friction or unique insight. It is a textbook example of a disconnected narrative."
openQ1_causality_coherence_score,rubric.causality.v1,10,"I'm a full-stack developer and I just love playing around with new frameworks. Last year, when OpenAI released their new GPT-4 APIs, I was hacking around on a weekend. I built this really cool wrapper that can summarize long PDF documents and generate automated email replies in like two seconds. I showed it to a few friends in my gaming Discord and they thought it was awesome. So I registered a company, OmniSaaS AI. We are targeting enterprise B2B SaaS. HR departments and legal teams at large MNCs have a lot of documents and emails, right? So obviously they will pay for this. We are currently just trying to hire a sales guy to figure out our go-to-market.","Earns a 10/100 because it is a classic 'solution in search of a problem'. The lived context is just weekend hacking. There is no observed friction—the founder merely assumes that HR and legal teams have a problem that needs solving ('they have a lot of documents, right?'). The startup was born from a cool tech demo, not from tracing a real-world pain point to a unique insight."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,100,"Everyone building agritech thinks Indian farmers just need more data on their soil. That's a classic trap. Spending months in rural Haryana, I realized the actual bottleneck isn't the lack of NPK data—it's the fertilizer dealer's credit cycle. Farmers buy urea on credit, and the dealer pushes whatever gives him the best margin. If a soil test takes 14 days to come back from a government lab, the farmer has already sown the seeds and taken the dealer's chemical. Our insight was that unless soil testing is instant and happens at the point of sale before the credit note is cut, the data is useless. That’s why we built a handheld optical sensor that gives results in 90 seconds, right at the mandi.","Earns a 100 because it explicitly calls out a common startup tarpit (building apps for soil data) and replaces it with a deeply non-obvious, operational insight (the credit cycle dictates fertilizer usage). This insight is highly specific to the Indian agricultural supply chain and is clearly derived from on-the-ground lived experience, leading directly to their hardware-based solution."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,100,"When I left my research lab to deploy our radiology AI in diagnostic centers across UP and Bihar, it failed miserably on day one. The obvious assumption in health-tech is that tier-2 cities lack specialist doctors, so AI will bridge the gap. But the real, non-obvious problem is the hardware ecosystem. These clinics use 15-year-old refurbished MRI and CT machines bought second-hand from the US, operated by technicians with little formal training. The scans are incredibly noisy. An algorithm trained on pristine Stanford datasets will just hallucinate. My lived insight was that diagnostic AI in India isn't about pathology first; it's about image reconstruction first. We had to pivot to building a proprietary denoising layer that makes a 1.5 Tesla refurbished machine output 3 Tesla-quality images before we even touch the clinical diagnosis.","Earns a 100 because it subverts the superficial 'AI replaces doctors' narrative. The founder identified a hidden, systemic issue (refurbished hardware and noisy data in tier-2/3 Indian cities) through direct deployment failure. It shows adaptability and a profound understanding of the unglamorous realities of healthcare infrastructure."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,100,"Most fintechs trying to solve MSME lending get stuck in the 'alternative underwriting' tarpit, thinking if they just analyze enough SMS data, they can predict defaults. Having spent five years selling ERPs to textile manufacturers in Tirupur, I saw the real truth: 90% of defaults aren't due to bad intent, they are purely timing mismatches. A manufacturer wants to pay his EMI, but his working capital is stuck because a large enterprise buyer delayed payment by 45 days, or his GST input tax credit is delayed. The non-obvious insight is that B2B collections AI shouldn't be predicting 'will they pay?', it should predict 'exactly which Tuesday will they have liquidity?' We shifted our entire ML model to map the payment cycles of our borrowers' upstream clients, completely changing our recovery rates.","Earns a 100 because it leverages a sales-heavy background to uncover a nuanced truth about MSME cash flows in India (GST delays, enterprise payment cycles). It shifts the problem statement from a generic 'intent to pay' model to a highly specific 'liquidity timing' model, proving the founder has deep domain expertise and isn't just relying on standard fintech playbooks."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,100,"Everyone building voice AI for the Indian market pitches 'multilingual support' as their moat. But after listening to thousands of hours of call center recordings for a telecom client, I realized that static language translation is a tarpit. The non-obvious insight is that Indian consumers code-switch based on emotion, not just geography. A user might start a complaint in English, switch to Hindi to explain the technical issue, and then switch to Marathi when they get frustrated about the refund. If your NLP doesn't dynamically detect language shifts at the token level within the same sentence, the bot loses context, the customer gets furious, and it escalates to a human anyway. We stopped building separate language models and built a unified emotional code-switching architecture.","Earns a 100 because it moves beyond the obvious observation (India has many languages) to a behavioral insight (language switching is tied to emotional state during customer support). This directly impacts product architecture and stems from the grueling, unscalable work of listening to raw call center tapes, making it an authentic and defensible insight."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,80,"We spent two years building the best computer vision models for crop grading in Maharashtra. The non-obvious insight? The farmers don't care about the AI, and neither do the large FMCG buyers. The absolute bottleneck is the 'mandi' aggregator—the middleman. Outsiders think agritech is about satellite imagery for yield, but on the ground, if our AI doesn't match the aggregator's visual bias, the transaction fails. We realized we had to train our AI not just on 'perfect' scientific crop grades, but on the localized, subjective grading patterns of these specific middlemen to actually digitize the supply chain.","Earns an 80 because it presents a strong, surprising insight derived directly from lived technical/operational experience (realizing the middleman's subjective bias is the actual adoption bottleneck). It loses a few points from a perfect 100 because scaling an AI trained on subjective, hyper-local biases presents a scaling challenge that the founder doesn't address here, but the insight itself is highly pragmatic and avoids the typical agritech tarpits."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,80,"When I was selling loan products in Tier 2 cities like Indore and Surat, everyone was obsessed with alternative data—scraping SMS, checking GST returns. But here is the non-obvious truth: for Indian MSMEs, GST data is a lagging indicator. By the time a business shows a dip in tax filings, they are already 90 days away from default. The real insight we gained is that the earliest signal of credit risk isn't their revenue, it's their vendor payment cycle. If a textile manufacturer delays paying their thread supplier by even 5 days, a default is coming. We shifted our AI from analyzing historical bank statements to real-time supply chain invoice tracking.","Earns an 80 for a highly credible, sales-driven persona with a clear, specific insight (GST as a lagging indicator vs. vendor payments as a leading indicator). It hits the 80 mark because while supply chain financing is an established concept, the founder's specific framing of shifting the AI's focus away from standard alt-data to micro-delays in vendor cycles shows deep market understanding and avoids the 'we just use more data' trap."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,80,"During my PhD research deploying diagnostic AI in rural Karnataka clinics, I realized the whole industry is solving the wrong problem. Everyone is building AI to help the radiologist read scans faster. But in these clinics, the radiologist isn't the bottleneck—they sit in Bangalore and read remotely. The real bottleneck is the local technician capturing poor-quality X-rays, causing a 40% rejection rate. The non-obvious insight is that AI shouldn't be for diagnosis first; it must be for real-time quality control at the point of capture. If the AI tells the technician 're-take this scan, the angle is wrong' before the patient leaves the room, you save weeks of diagnostic delays.","Earns an 80 because the academic founder identifies a highly specific, counter-intuitive workflow bottleneck (technician capture quality over radiologist speed). It's incredibly traceable to lived experience. It doesn't score a 100 because quality-control AI at the edge is arguably more of a feature than a standalone defensible platform, but the insight itself is exceptionally clear and grounded."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,80,"Everyone in HR SaaS is building GenAI chatbots to measure employee sentiment. Having run operations for a 2,000-person IT services firm in Pune, I can tell you that by the time an employee says they are unhappy in a pulse survey, they already have another offer. The non-obvious insight is that attrition isn't a sentiment problem; it's a network isolation problem. We noticed that 60 days before resigning, an engineer's calendar behavior changes—they stop attending optional cross-functional meetings and their internal Slack network shrinks by 30%. We stopped parsing survey text and started mapping organizational metadata graphs. That’s the real signal.","Earns an 80 because it directly challenges the prevailing industry standard (sentiment analysis) with a behavioral, data-backed alternative (network isolation/calendar behavior). The operational background makes it credible. It stops short of a 100 because Organizational Network Analysis (ONA) is somewhat known among advanced HR tech circles, making it slightly less 'surprising' to domain experts, but the articulation and application here are excellent."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,50,What we realized after talking to several hospitals in Tier 2 cities is that doctors are incredibly overburdened. An average doctor in India sees over 80 patients a day. The non-obvious insight here is that typing out prescriptions takes away 40% of their consultation time. You can't just give them an EMR; they won't use it. Our insight is that you need a voice-first AI system that understands Hindi and English mixed together—Hinglish—so they can just speak naturally and the AI fills the form automatically.,"Scores a 50 because while it identifies a real operational bottleneck (typing takes time) and local context (Hinglish in Tier 2 cities), the 'insight' is highly obvious and a well-known tarpit in Indian health-tech. Dozens of startups have pitched Hinglish voice-to-EMR. It lacks a surprising, counter-intuitive angle derived from deep, unique lived experience."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,50,"My biggest learning from years of selling software to local merchants in Maharashtra is that the traditional banking system is completely broken for MSMEs. Banks only look at CIBIL scores and GST returns. But the non-obvious insight is that a shopkeeper's true creditworthiness isn't in his tax filings; it's in his daily UPI transaction volume and how he pays his suppliers. We realized that if we use AI to analyze their digital payment footprints and SMS alerts, we can underwrite loans for the 60 million SMEs who are completely ignored by big banks.","Scores a 50 because 'UPI/SMS alternative data for MSME lending' is one of the most common, saturated narratives in Indian fintech. The founder states it as a 'non-obvious insight,' but it is actually an industry standard at this point. It shows market awareness but completely lacks the 'surprising' or proprietary element required for a high score."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,50,"When we looked at the agriculture sector, we saw that farmers in Punjab and Haryana were losing up to 30% of their yield to pest attacks simply because they couldn't identify the disease early enough. The insight we had was that every farmer now has a cheap Jio smartphone with a camera, but they don't have access to an agronomist. So we realized that the solution isn't sending more experts to the field, but putting an AI expert in their pocket. By just clicking a photo of the leaf, our computer vision model can tell them exactly which pesticide to use.","Scores a 50 because this is the quintessential Agritech 101 idea. 'Farmers have smartphones, let's use computer vision on leaves' is a massive tarpit. While factually true, it is entirely obvious and lacks the nuanced, granular operational insight (such as supply chain bottlenecks or input fraud) that a deeply experienced founder would possess."
openQ2_non_obvious_insight_score,rubric.non_obvious_insight.v1,50,"The non-obvious insight we found in the recruitment space is that companies aren't struggling to find candidates; they are drowning in them. Whenever a startup posts a job on LinkedIn or Naukri, they get thousands of irrelevant applications. The real bottleneck isn't sourcing, it's filtering. We realized that HR managers spend 80% of their time just looking at resumes that don't even match the basic criteria. Our insight was that if we build an AI copilot that automatically ranks candidates based on semantics rather than just keyword matching, we can cut down hiring time by half.","Scores a 50 because 'HR is drowning in resumes and keyword matching is bad' is a very generic, surface-level observation. It describes a well-known pain point rather than a unique, counter-intuitive secret about the industry. It reads like a standard pitch deck problem slide rather than a hard-earned, specific insight."
